Customer_ID,Customer_Name,Gender,Age,Email,Phone,City,Province,Country,Product_ID,Product_Name,Category,Brand,Unit_Price,Order_ID,Order_Date,Quantity,Discount,Tax,Total_Amount,Payment_Method,Sales_Channel,Warehouse,Delivery_Status,Delivery_Days,Salesperson,Region,Customer_Satisfaction,Loyalty_Score,Return_Flag
CUST1,Customer_1097,Male,-5.0,invalid-email,9824455280.0,Nepalgunj,Madhesh,Bangladesh,,Product_437,Electronics,Nova,42.0,,4/6/2025,0,2.1,4.73,45108.01,Card,Online,WH-A,Cancelled,-2.0,SP_74,West,3.0,61.0,Y
CUST1000,Customer_2137,Unknown,42.0,,,Kathmandu,Koshi,Bangladesh,,Product_351,I.T.,CloudWare,-100.0,,11/14/2025,-3,24.61,13.7,,Bank Transfer,Retail,WH-A,Shipped,,SP_100,West,1.0,25.0,Y
CUST3,Customer_1442,Female,150.0,,,Kathmandu ,Gandaki,Bangladesh,P595,Product_79,I.T.,DataMax,-100.0,ORD-10002,1/5/2025,0,20.55,14.32,63609.71,Bank Transfer,Retail,WH-C,Delivered,-2.0,SP_2,Central,4.0,,Yes
CUST1001,Customer_1076,F,150.0,invalid-email,,Kathmandu,Gandaki,India,,Product_446,Information Technology,Nova,42.0,,,-3,9.18,13.71,,eSewa,Online,WH-C,Cancelled,9.0,SP_81,East,99.0,,N
CUST5,Customer_558,F,60.0,invalid-email,12345.0,Biratnagar,Koshi,Nepal,,Product_167,I.T.,CloudWare,42.0,,2/18/2025,0,2.79,13.95,,Khalti,Online,WH-C,Delivered,,SP_26,East,2.0,35.0,Yes
CUST1002,Customer_344,M,150.0,user5@company.com,,Kathmandu ,Koshi,Bangladesh,P507,Product_132,Information Technology,CloudWare,42.0,,,-3,18.27,7.42,69730.33,eSewa,Retail,WH-B,Shipped,-2.0,SP_28,West,3.0,97.0,No
CUST1003,Customer_256,Unknown,-5.0,,,ktm,Koshi,India,,Product_63,Office Supplies,CloudWare,42.0,ORD-10006,19/07/2025,0,17.21,14.45,,Khalti,Wholesale,WH-C,Cancelled,,SP_59,Central,5.0,,Yes
C-8,Customer_506,Male,-5.0,user7@company.com,9874065041.0,Kathmandu ,Madhesh,Nepal,,Product_457,Furniture,CloudWare,-100.0,,,0,21.9,3.41,,Card,Retail,WH-B,Shipped,,SP_2,West,,22.0,Yes
CUST1004,Customer_2150,Female,150.0,user8@company.com,12345.0,Kathmandu ,Gandaki,India,P640,Product_53,IT,CloudWare,42.0,ORD-10008,21/07/2025,15,1.8,6.49,758645.74,Khalti,Online,WH-A,Pending,4.0,SP_32,East,1.0,52.0,Yes
CUST1005,Customer_1319,male,19.0,user9@company.com,,Lalitpur,Lumbini,Nepal,,Product_330,Office Supplies,Nova,42.0,ORD-10009,,0,16.81,5.85,98375.25,eSewa,Online,WH-B,Delivered,3.0,SP_59,West,5.0,79.0,N
CUST1006,Customer_1183,M,-5.0,user10@gmail.com,9824190430.0,Dharan,Bagmati,Bangladesh,,Product_93,IT,Nova,42.0,ORD-10010,26/02/2025,2,4.39,6.86,93727.52,Cash,Online,WH-A,Shipped,12.0,SP_18,Central,1.0,,No
C-12,Customer_964,Unknown,42.0,user11@company.com,9821999476.0,Biratnagar,Lumbini,Bangladesh,,Product_403,Furniture,TechPro,2991.96,ORD-10011,,-3,26.84,9.61,,Bank Transfer,Retail,WH-B,Pending,-2.0,SP_5,Central,3.0,,Yes
CUST1007,Customer_2075,Unknown,42.0,user12@gmail.com,,Dharan,Koshi,Nepal,,Product_490,Information Technology,CloudWare,10016.4,ORD-10012,12/7/2025,-3,26.71,14.75,16753.89,Card,Online,WH-B,Pending,2.0,SP_92,Central,1.0,35.0,Yes
CUST1008,Customer_233,M,42.0,invalid-email,9865129620.0,Biratnagar,Madhesh,Bangladesh,P984,Product_342,I.T.,TechPro,42.0,,25/11/2025,15,0.16,12.58,,Khalti,Retail,WH-C,Pending,14.0,SP_50,East,4.0,27.0,Yes
CUST1009,Customer_532,Unknown,42.0,,12345.0,Lalitpur,Koshi,India,P166,Product_63,I.T.,DataMax,13379.1,,23/04/2025,-3,16.42,9.93,,eSewa,Online,WH-B,Pending,8.0,SP_55,East,99.0,20.0,Yes
C-16,Customer_257,F,42.0,,12345.0,ktm,Lumbini,Nepal,P950,Product_46,IT,TechPro,42.0,,1/7/2025,17,29.35,0.76,,Bank Transfer,Retail,WH-B,Pending,,SP_52,West,,88.0,Yes
CUST17,Customer_885,Female,42.0,,,ktm,Koshi,Bangladesh,,Product_211,Furniture,CloudWare,26504.08,ORD-10016,,-3,18.02,6.81,,Cash,Retail,WH-B,Shipped,,SP_95,West,99.0,,No
