Customer_ID,Customer_Name,Gender,Age,Email,Phone,City,Province,Country,Product_ID,Product_Name,Category,Brand,Unit_Price,Order_ID,Order_Date,Quantity,Discount,Tax,Total_Amount,Payment_Method,Sales_Channel,Warehouse,Delivery_Status,Delivery_Days,Salesperson,Region,Customer_Satisfaction,Loyalty_Score,Return_Flag
CUST1,Customer_1097,Male,-5,invalid-email,9824455280,Nepalgunj,Madhesh,Bangladesh,,Product_437,Electronics,Nova,,,4/6/2025,0,2.1,4.73,45108.01,Card,Online,WH-A,Cancelled,-2,SP_74,West,3,61,Y
,Customer_2137,,,,,Kathmandu,Koshi,Bangladesh,,Product_351,I.T.,CloudWare,-100,,11/14/2025,-3,24.61,13.7,,Bank Transfer,Retail,WH-A,Shipped,,SP_100,West,1,25,Y
CUST3,Customer_1442,Female,150,,,Kathmandu ,Gandaki,Bangladesh,P595,Product_79,I.T.,DataMax,-100,ORD-10002,1/5/2025,0,20.55,14.32,63609.71,Bank Transfer,Retail,WH-C,Delivered,-2,SP_2,Central,4,,Yes
,Customer_1076,F,150,invalid-email,,Kathmandu,Gandaki,India,,Product_446,Information Technology,Nova,,,,-3,9.18,13.71,,eSewa,Online,WH-C,Cancelled,9,SP_81,East,99,,N
CUST5,Customer_558,F,60,invalid-email,12345,Biratnagar,Koshi,Nepal,,Product_167,I.T.,CloudWare,,,2/18/2025,0,2.79,13.95,,Khalti,Online,WH-C,Delivered,,SP_26,East,2,35,Yes
,Customer_344,M,150,user5@company.com,,Kathmandu ,Koshi,Bangladesh,P507,Product_132,Information Technology,CloudWare,,,,-3,18.27,7.42,69730.33,eSewa,Retail,WH-B,Shipped,-2,SP_28,West,3,97,No
,Customer_256,,-5,,,ktm,Koshi,India,,Product_63,Office Supplies,CloudWare,,ORD-10006,19/07/2025,0,17.21,14.45,,Khalti,Wholesale,WH-C,Cancelled,,SP_59,Central,5,,Yes
C-8,Customer_506,Male,-5,user7@company.com,9874065041,Kathmandu ,Madhesh,Nepal,,Product_457,Furniture,CloudWare,-100,,,0,21.9,3.41,,Card,Retail,WH-B,Shipped,,SP_2,West,,22,Yes
,Customer_2150,Female,150,user8@company.com,12345,Kathmandu ,Gandaki,India,P640,Product_53,IT,CloudWare,,ORD-10008,21/07/2025,15,1.8,6.49,758645.74,Khalti,Online,WH-A,Pending,4,SP_32,East,1,52,Yes
,Customer_1319,male,19,user9@company.com,,Lalitpur,Lumbini,Nepal,,Product_330,Office Supplies,Nova,,ORD-10009,,0,16.81,5.85,98375.25,eSewa,Online,WH-B,Delivered,3,SP_59,West,5,79,N
,Customer_1183,M,-5,user10@gmail.com,9824190430,Dharan,Bagmati,Bangladesh,,Product_93,IT,Nova,,ORD-10010,26/02/2025,2,4.39,6.86,93727.52,Cash,Online,WH-A,Shipped,12,SP_18,Central,1,,No
C-12,Customer_964,,,user11@company.com,9821999476,Biratnagar,Lumbini,Bangladesh,,Product_403,Furniture,TechPro,2991.96,ORD-10011,,-3,26.84,9.61,,Bank Transfer,Retail,WH-B,Pending,-2,SP_5,Central,3,,Yes
,Customer_2075,,,user12@gmail.com,,Dharan,Koshi,Nepal,,Product_490,Information Technology,CloudWare,10016.4,ORD-10012,12/7/2025,-3,26.71,14.75,16753.89,Card,Online,WH-B,Pending,2,SP_92,Central,1,35,Yes
,Customer_233,M,,invalid-email,9865129620,Biratnagar,Madhesh,Bangladesh,P984,Product_342,I.T.,TechPro,,,25/11/2025,15,0.16,12.58,,Khalti,Retail,WH-C,Pending,14,SP_50,East,4,27,Yes
,Customer_532,,,,12345,Lalitpur,Koshi,India,P166,Product_63,I.T.,DataMax,13379.1,,23/04/2025,-3,16.42,9.93,,eSewa,Online,WH-B,Pending,8,SP_55,East,99,20,Yes
C-16,Customer_257,F,,,12345,ktm,Lumbini,Nepal,P950,Product_46,IT,TechPro,,,1/7/2025,17,29.35,0.76,,Bank Transfer,Retail,WH-B,Pending,,SP_52,West,,88,Yes
CUST17,Customer_885,Female,,,,ktm,Koshi,Bangladesh,,Product_211,Furniture,CloudWare,26504.08,ORD-10016,,-3,18.02,6.81,,Cash,Retail,WH-B,Shipped,,SP_95,West,99,,No
C-18,Customer_163,M,150,user17@gmail.com,,Nepalgunj,Gandaki,Nepal,,Product_38,Furniture,CloudWare,,,,-3,23.87,7.46,,eSewa,Retail,WH-C,Shipped,3,SP_14,Central,,7,Y
CUST19,Customer_575,Female,,,,ktm,Gandaki,India,,Product_3,IT,Nova,-100,ORD-10018,24/08/2025,11,19.14,12.97,,Khalti,Online,WH-A,Delivered,-2,SP_47,West,99,,
,Customer_957,Male,,,12345,Nepalgunj,Bagmati,India,P764,Product_138,Office Supplies,CloudWare,15606.94,,,-3,0.3,7.29,42333.26,Card,Online,WH-B,Pending,,SP_54,Central,4,,Yes
,Customer_2088,F,,invalid-email,9822031045,Dharan,Gandaki,Nepal,P184,Product_217,Information Technology,DataMax,-100,,12/2/2025,-3,11.78,12.5,73293.21,eSewa,Wholesale,WH-A,Delivered,-2,SP_51,Central,3,5,Y
,Customer_1176,Female,150,,,ktm,Bagmati,Bangladesh,P582,Product_107,Office Supplies,Nova,,,15/08/2025,-3,13.41,12.11,,Cash,Wholesale,WH-B,Shipped,,SP_42,West,5,73,No
